,C1,L1,P2,L2,1C1,1L1,1P2,1L2,2C1,2L1,2P2,2L2,3C1,3L1,3P2,3L2,MW,1MW,L12,1L12,2L12,3L12,L1M,L2M,GF,1GF,2GF
0,21258926.28,111716408.6,21258932.21,87051757.83,,,,,,,,,,,,,-5.42266351,,24664650.77,,,,21258925.7,21258928.36,-2.654311299,,
1,21260411.75,111724219.1,21260418.57,87057843.87,1485.469,7810.423,1486.355,6086.042,,,,,,,,,-4.860479198,0.562184312,24666375.23,1724.46,,,21260411.99,21260414.63,-2.638707217,0.015604082,
2,21261901.16,111732044.3,21261907.58,87063941.47,1489.414,7825.257,1489.016,6097.596,3.945,14.83399999,2.660999998,11.55399999,,,,,-5.073991999,-0.213512801,24668102.83,1727.6,3.140000015,,21261901.08,21261903.73,-2.648856211,-0.010148995,-0.025753077
3,21263393.25,111739884.5,21263399.56,87070050.67,1492.086,7840.143,1491.973,6109.201,2.671999998,14.88599999,2.957000002,11.60499999,-1.273000002,0.052000001,0.296000004,0.050999999,-5.14420709,-0.070215091,24669833.83,1731,3.399999991,0.259999976,21263393.02,21263395.66,-2.637438592,0.01141762,0.021566615
4,21264888.13,111747739.4,21264894.29,87076171.42,1494.883,7854.975,1494.73,6120.748,2.797000002,14.83200002,2.756999999,11.54700002,0.125000004,-0.053999975,-0.200000003,-0.057999969,-5.281060766,-0.136853676,24671567.98,1734.15,3.150000006,-0.249999985,21264887.76,21264890.41,-2.64933195,-0.011893358,-0.023310978
5,21266385.81,111755609.3,21266391.87,87082303.77,1497.672,7869.854,1497.582,6132.356,2.788999997,14.87899998,2.851999998,11.60799998,-0.008000005,0.046999961,0.094999999,0.06099996,-5.291887589,-0.010826823,24673305.53,1737.55,3.399999991,0.249999985,21266385.35,21266387.99,-2.639658686,0.009673264,0.021566622
6,21267886.23,111763494,21267892.14,87088447.66,1500.422,7884.661,1500.27,6143.889,2.750000004,14.80700003,2.688000001,11.53300001,-0.038999993,-0.071999952,-0.163999997,-0.074999973,-5.196261492,0.095626097,24675046.34,1740.81,3.260000005,-0.139999986,21267885.76,21267888.39,-2.631824933,0.007833753,-0.001839511
7,21269388.95,111771393.5,21269395.41,87094603.13,1502.718,7899.531,1503.277,6155.47,2.295999996,14.86999997,3.007000003,11.581,-0.454000007,0.062999949,0.319000002,0.047999993,-4.904797904,0.291463588,24676790.37,1744.03,3.219999999,-0.040000007,21269388.98,21269391.62,-2.635599084,-0.003774151,-0.011607904
8,21270895.31,111779307.8,21270901.66,87100770.1,1506.368,7914.292,1506.246,6166.97,3.650000002,14.76100002,2.968999997,11.5,1.354000006,-0.108999953,-0.038000006,-0.081,-5.201098483,-0.296300579,24678537.7,1747.33,3.299999997,0.079999998,21270895.02,21270897.66,-2.631444339,0.004154745,0.007928897
9,21272404.18,111787236.9,21272410.57,87106948.66,1508.867,7929.154,1508.906,6178.559,2.498999998,14.86199999,2.66,11.589,-1.151000004,0.100999966,-0.308999997,0.089000002,-5.275727473,-0.07462899,24680288.24,1750.54,3.210000008,-0.089999989,21272403.88,21272406.52,-2.641339615,-0.009895276,-0.014050022
